colour	x	y	showSelected1	fill
#F8766D	47.2365365853659	6.059	East Asia & Pacific	#F8766D
#00C094	65.8452926829268	4.536	Middle East & North Africa	#00C094
#53B400	66.1578780487805	5.462	Latin America & Caribbean	#53B400
#A58AFF	65.5611463414634	3.783	South Asia	#A58AFF
#FB61D7	43.1158780487805	6.88	Sub-Saharan Africa	#FB61D7
#FB61D7	50.7529756097561	5.761	Sub-Saharan Africa	#FB61D7
#C49A00	70.8673170731707	2.19	Europe & Central Asia	#C49A00
#C49A00	70.6633902439025	1.55	Europe & Central Asia	#C49A00
#C49A00	68.9253658536585	1.96	Europe & Central Asia	#C49A00
#00C094	55.093	7.511	Middle East & North Africa	#00C094
#00C094	54.0935609756098	6.42	Middle East & North Africa	#00C094
#C49A00	65.0076829268293	2.483	Europe & Central Asia	#C49A00
#C49A00	71.9150731707317	2.375	Europe & Central Asia	#C49A00
#FB61D7	45.8969756097561	7.216	Sub-Saharan Africa	#FB61D7
#C49A00	68.7046097560976	2.653	Europe & Central Asia	#C49A00
#FB61D7	37.1268048780488	6.966	Sub-Saharan Africa	#FB61D7
#F8766D	53.1732682926829	5.431	East Asia & Pacific	#F8766D
#F8766D	57.1662926829268	7.144	East Asia & Pacific	#F8766D
#F8766D	71.5459756097561	1.484	East Asia & Pacific	#F8766D
#FB61D7	50.2526341463415	6.681	Sub-Saharan Africa	#FB61D7
#00C094	71.7208536585366	2.274	Middle East & North Africa	#00C094
#FB61D7	64.4150487804878	3.255	Sub-Saharan Africa	#FB61D7
#A58AFF	47.8337804878049	6.981	South Asia	#A58AFF
#FB61D7	42.5688292682927	7.481	Sub-Saharan Africa	#FB61D7
#53B400	63.9288536585366	5.932	Latin America & Caribbean	#53B400
#F8766D	65.7871219512195	4.209	East Asia & Pacific	#F8766D
#FB61D7	41.575	6.554	Sub-Saharan Africa	#FB61D7
#FB61D7	55.1675609756098	6.654	Sub-Saharan Africa	#FB61D7
#F8766D	65.2731707317073	3.6785714286	East Asia & Pacific	#F8766D
#FB61D7	38.8074146341464	7.579	Sub-Saharan Africa	#FB61D7
#FB61D7	44.2473170731707	6.706	Sub-Saharan Africa	#FB61D7
#53B400	56.4802926829268	6.597	Latin America & Caribbean	#53B400
#C49A00	74.4987804878049	1.664	Europe & Central Asia	#C49A00
#C49A00	74.8175609756098	1.991	Europe & Central Asia	#C49A00
#A58AFF	45.3301219512195	5.99	South Asia	#A58AFF
#F8766D	72.219512195122	2.331	East Asia & Pacific	#F8766D
#00C094	55.6087073170732	7.747	Middle East & North Africa	#00C094
#53B400	67.7130487804878	4.484	Latin America & Caribbean	#53B400
#53B400	57.0433658536585	5.702	Latin America & Caribbean	#53B400
#F8766D	61.7008536585366	4.643	East Asia & Pacific	#F8766D
#F8766D	49.270512195122	6	East Asia & Pacific	#F8766D
